,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned,hr_mean,hr_peak
64,Thursday,2021-07-22,TraditionalStrengthTraining,26.53919588327408,min,386.033,67.4163,150.506,157.061
65,Thursday,2021-07-22,Walking,10.04591518441836,min,178.043,25.057,175.148,175.148
66,Friday,2021-07-23,TraditionalStrengthTraining,46.39662901759148,min,496.258,117.581,128.401,132.896
67,Friday,2021-07-23,Walking,35.30121819972992,min,614.867,89.21,174.26350000000002,178.119
68,Monday,2021-07-26,TraditionalStrengthTraining,50.01391513347626,min,369.546,126.871,108.85620000000002,110.587
69,Monday,2021-07-26,Walking,19.82085748314858,min,360.857,50.0564,168.07150000000001,170.979
70,Monday,2021-07-26,TraditionalStrengthTraining,47.08043506741524,min,655.235,119.465,142.5068,145.113
71,Monday,2021-07-26,Walking,18.45165438453357,min,287.118,46.6492,159.065,159.18
72,Tuesday,2021-07-27,TraditionalStrengthTraining,33.49359481732051,min,286.233,76.1571,120.69800000000001,145.479
73,Tuesday,2021-07-27,Walking,7.912616699934006,min,136.963,18.3648,170.038,170.038
74,Wednesday,2021-07-28,TraditionalStrengthTraining,67.1756263991197,min,623.939,156.324,119.878,135.499
75,Wednesday,2021-07-28,Walking,62.09701949954033,min,1036.23,145.935,164.88271428571426,180.628
76,Thursday,2021-07-29,TraditionalStrengthTraining,36.01094563404719,min,452.469,83.8564,136.1824,144.661
77,Thursday,2021-07-29,Walking,10.43194511731466,min,179.261,24.3123,168.269,168.269
78,Friday,2021-07-30,TraditionalStrengthTraining,45.14776916702588,min,432.848,104.217,124.97080000000001,139.755
79,Saturday,2021-07-31,TraditionalStrengthTraining,60.53348843455315,min,718.698,141.559,131.174,138.091
80,Saturday,2021-07-31,Walking,19.43008365035057,min,318.811,45.5384,167.326,169.333
81,Saturday,2021-07-31,Cycling,10.16282418171565,min,170.322,23.7786,162.143,162.143
82,Sunday,2021-08-01,TraditionalStrengthTraining,54.13294266661008,min,548.455,125.886,125.54733333333336,130.267
83,Sunday,2021-08-01,Walking,17.23956725001335,min,300.873,40.298,159.013,171.126
